t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
14.300000,2.536105,1.000000,0.455943,0.000000,0.000005,0.741070,0.909604,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
14.400000,2.580296,1.000000,0.455943,0.000000,0.000005,0.742006,0.909947,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
14.500000,2.619140,1.000000,0.455943,0.000000,0.000005,0.742912,0.910279,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
14.600000,2.652550,1.000000,0.455943,0.000000,0.000005,0.743789,0.910600,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
14.700000,2.680451,1.000000,0.455943,0.000000,0.000005,0.744638,0.910911,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
14.800000,2.702783,1.000000,0.455943,0.000000,0.000005,0.745460,0.911212,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
14.900000,2.719494,1.000000,0.455943,0.000000,0.000005,0.746256,0.911503,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
15.000000,2.730545,1.000000,0.455943,0.000000,0.000005,0.747026,0.911784,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
15.100000,2.735911,1.000000,0.455943,0.000000,0.000005,0.747771,0.912057,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
15.200000,2.735577,1.000000,0.455943,0.000000,0.000005,0.748492,0.912320,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
15.300000,2.729540,1.000000,0.455943,0.000000,0.000005,0.749190,0.912575,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
15.400000,2.717811,1.000000,0.455943,0.000000,0.000005,0.749866,0.912822,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
15.500000,2.700410,1.000000,0.455943,0.000000,0.000005,0.750519,0.913061,0.000000,0.000000,0.000000,stable,0.000000,0.000000,0.000000,0.000000,1.000000
