t,S(t),A_mean(t),f_mean(t),effort(t),cpu_step(t),C(t),E(t),L(t),variance_d2S,entropy_S,effort_status,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio
12.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.980492,0.500000,stable,0.000005,0,0,0,1.618034
12.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,380.986522,0.500000,stable,0.158071,0,0,0,1.618034
12.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,383.275485,0.500000,stable,0.255770,0,0,0,1.618034
12.500000,-0.000000,0.268941,1,0,0.000010,1,0.268941,0,386.478014,0.500000,stable,0.255773,0,0,0,1.618034
12.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.049045,0.500000,stable,0.158080,0,0,0,1.618034
12.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,382.587235,0.500000,stable,0.000005,0,0,0,1.618034
12.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,380.967940,0.500000,stable,0.158071,0,0,0,1.618034
12.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,383.578407,0.500000,stable,0.255770,0,0,0,1.618034
13,0.000000,0.268941,1,0,0.000010,1,0.268941,0,387.025264,0.500000,stable,0.255773,0,0,0,1.618034
13.100000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.797071,0.500000,stable,0.158080,0,0,0,1.618034
13.200000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.399520,0.500000,stable,0.000005,0,0,0,1.618034
13.300000,0.767335,0.268941,1,0,0.000010,1,0.268941,0,381.555620,0.500000,stable,0.158071,0,0,0,1.618034
13.400000,0.474239,0.268941,1,0,0.000010,1,0.268941,0,383.681933,0.500000,stable,0.255770,0,0,0,1.618034
13.500000,0.000000,0.268941,1,0,0.000010,1,0.268941,0,386.663011,0.500000,stable,0.255773,0,0,0,1.618034
13.600000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,386.276353,0.500000,stable,0.158080,0,0,0,1.618034
13.700000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,383.061013,0.500000,stable,0.000005,0,0,0,1.618034
13.800000,-0.767335,0.268941,1,0,0.000010,1,0.268941,0,381.538649,0.500000,stable,0.158071,0,0,0,1.618034
13.900000,-0.474239,0.268941,1,0,0.000010,1,0.268941,0,383.941216,0.500000,stable,0.255770,0,0,0,1.618034
